Lat,Long
43.13061,-90.16276
43.13987,-90.52876
43.02113,-90.45781
43.01088,-90.07764
43.13987,-90.52867
43.07498,-90.488
43.07083,-89.95502
43.13987,-90.52867
42.98382,-90.20134
43.09601,-89.88656
43.09347,-90.4379
43.06924,-89.98904
43.01138,-90.57772
43.06033,-89.90466
43.13024,-90.33026
43.12862,-90.15859
43.08468,-89.99861
43.07598,-90.07447
43.16241,-90.36362
43.04455,-90.55756
43.00395,-90.16099
43.12832,-90.33028
42.98809,-90.19978
43.09154,-89.91908
43.11956,-89.9939
42.99876,-90.0439
43.09154,-89.91091
43.04777,-90.23169
43.03771,-90.27978
43.15125,-90.26694
43.0062,-90.19231
43.08476,-89.99842
43.0062,-90.19231
43.1278,-90.11939
43.03853,-90.30163
43.15125,-90.26694
43.01436,-90.26288
42.98301,-90.20663
43.06813,-89.992
43.09154,-89.91091
42.99363,-90.17785
43.00445,-90.17648
43.01041,-90.16016
43.15783,-90.43328
43.06145,-90.06063
43.10935,-89.8972
43.0829,-90.06132
43.13987,-90.52867
43.00619,-90.19308
43.01436,-90.26288
43.10706,-90.03845
43.10935,-89.8972
43.07598,-90.07447
43.01088,-90.07764
43.06033,-89.90466
43.01041,-90.16016
43.06813,-89.992
43.16241,-90.36362
43.13061,-90.16276
43.06033,-89.90466
43.01138,-90.57772
43.08476,-89.99842
43.04455,-90.55756
43.13987,-90.52876
43.13024,-90.33026
43.06924,-89.98904
43.06924,-89.98904
43.12862,-90.15859
43.1278,-90.11939
42.98382,-90.20134
43.09601,-89.88656
43.09347,-90.4379
43.07498,-90.488
43.08468,-89.99861
43.07083,-89.95502
43.02113,-90.45781
43.15783,-90.43328
43.00395,-90.16099
43.0829,-90.06132
43.06145,-90.06063
43.10706,-90.03845
42.99363,-90.17785
43.00445,-90.17648
43.09347,-90.4379
